Player,Matches,Batting Avg,Strike Rate,Bowling Economy,Bowling Avg Wickets
TL Seifert,3,13.0,100.0,0.0,0.0
Anmolpreet Singh,9,15.44,118.8,0.0,0.0
Anuj Rawat,21,22.71,115.22,0.0,0.0
IC Porel,1,0.0,0.0,8.54,1.0
AU Rashid,3,11.0,129.41,9.1,0.67
TH David,44,36.78,161.45,0.0,0.0
DP Conway,28,45.0,136.02,0.0,0.0
Tilak Varma,50,44.09,137.65,7.04,0.0
R Powell,23,18.25,139.85,9.14,0.04
OF Smith,6,17.0,102.0,10.93,1.0
Akash Deep,14,8.33,178.57,10.33,0.71
PBB Rajapaksa,13,25.18,137.81,0.0,0.0
RA Bawa,3,9.5,105.56,0.0,0.0
A Badoni,48,29.18,130.14,8.4,0.08
PVD Chameera,19,17.67,115.22,8.85,0.68
MS Wade,11,16.1,105.92,0.0,0.0
Mohsin Khan,23,12.5,92.59,7.85,1.17
A Manohar,20,15.37,120.16,0.0,0.0
R Shepherd,17,26.43,198.92,10.55,0.59
D Pretorius,7,11.0,157.14,8.02,0.86
Mukesh Choudhary,16,6.0,100.0,9.04,1.06
JM Sharma,47,25.41,151.07,0.0,0.0
VG Arora,32,3.0,36.0,8.37,1.12
D Brevis,16,28.44,149.18,16.0,0.06
DG Nalkande,6,12.0,100.0,9.64,1.0
B Sai Sudharsan,40,52.74,140.19,0.0,0.0
M Theekshana,38,5.67,50.0,7.8,0.95
Ramandeep Singh,21,19.73,152.82,7.73,0.29
HE van der Dussen,3,11.0,88.0,0.0,0.0
KR Sen,12,0.0,0.0,8.75,1.17
SS Prabhudessai,10,15.75,111.5,0.0,0.0
Yash Dayal,43,1.33,44.44,8.69,0.95
Shashank Singh,34,48.31,151.57,9.87,0.03
Aman Hakim Khan,10,12.78,105.5,13.0,0.0
OC McCoy,8,8.0,160.0,7.7,1.38
HR Shokeen,13,22.0,98.51,8.48,0.38
DJ Mitchell,15,27.0,128.1,11.06,0.07
B Indrajith,3,7.0,67.74,0.0,0.0
Harshit Rana,32,14.75,103.51,8.83,1.25
K Kartikeya,16,6.0,66.67,8.21,0.75
Simarjeet Singh,14,3.33,66.67,8.91,0.79
SA Abbott,1,7.0,140.0,9.78,1.0
Fazalhaq Farooqi,12,5.0,33.33,9.59,0.5
KS Sharma,3,5.33,64.0,0.0,0.0
R Sai Kishore,25,6.0,112.5,8.46,1.28
T Stubbs,31,47.4,160.86,11.03,0.13
PH Solanki,2,0.0,0.0,6.33,1.0
M Pathirana,32,0.0,0.0,6.95,1.47
R Sanjay Yadav,1,0.0,0.0,9.0,0.0
A Tomar,1,4.0,50.0,0.0,0.0
PN Mankad,5,32.33,129.33,0.0,0.0
J Little,11,0.0,0.0,8.42,1.0
RS Hangargekar,2,0.0,0.0,7.4,1.5
Sikandar Raza,9,26.0,127.27,9.07,0.33
Rahmanullah Gurbaz,18,21.35,128.27,0.0,0.0
KR Mayers,13,29.15,137.32,7.17,0.0
Mukesh Kumar,32,10.0,50.0,9.45,1.16
RR Rossouw,17,28.0,155.56,0.0,0.0
HC Brook,11,21.11,119.5,0.0,0.0
NA Saini,1,0.0,0.0,12.4,0.0
RJW Topley,6,3.0,50.0,10.42,0.83
C Green,29,41.59,149.79,8.23,0.59
MG Bracewell,5,29.0,118.37,8.64,1.2
N Wadhera,31,28.76,137.74,7.76,0.0
Arshad Khan,18,23.8,132.22,9.65,0.67
Yash Thakur,21,0.0,0.0,9.32,1.19
Abishek Porel,29,25.42,145.59,0.0,0.0
Dhruv Jurel,35,32.38,149.12,0.0,0.0
Suyash Sharma,27,0.0,0.0,8.43,0.67
SSB Magala,2,0.0,0.0,8.11,0.5
MW Short,6,19.5,118.18,5.76,0.0
Mohit Rathee,1,1.0,50.0,14.5,0.0
WD Parnell,7,2.0,33.33,8.79,1.29
YV Dhull,3,5.33,69.57,0.0,0.0
Vijaykumar Vyshak,16,7.0,107.69,9.25,1.06
Yudhvir Singh,9,7.33,137.5,10.01,0.89
Atharva Taide,10,28.89,138.3,24.0,0.0
Harpreet Singh,5,34.33,110.75,0.0,0.0
Arjun Tendulkar,5,13.0,144.44,7.52,0.6
D Jansen,1,0.0,0.0,10.5,1.0
Noor Ahmad,37,2.86,57.14,7.42,1.3
Naveen-ul-Haq,17,18.0,69.23,8.42,1.47
Liton Das,1,4.0,100.0,0.0,0.0
PD Salt,34,35.2,169.5,0.0,0.0
Mayank Dagar,8,0.0,0.0,8.61,0.25
Abdul Basith,1,1.0,100.0,0.0,0.0
